index,theta,re,im,boundary_re,boundary_im,land_fraction,coastline_density,num_continents,largest_continent_frac,height_variance,land_height_variance,land_hist_occupied_bins,land_hist_entropy_norm,x_min,x_max,y_min,y_max
1,0.03490658504,0.2794475932,0.009758524986,0.2794475932,0.009758524986,0.2396011353,0.02101135254,85,0.9975800032,0.1358243972,0.05250419304,8,0.6339216226,-1.111764706,1.111764706,-1.370588235,1.370588235
2,0.05235987756,0.2877169647,0.01507860718,0.2877169647,0.01507860718,0.2361831665,0.02275085449,123,0.9969635301,0.1384364367,0.04817130044,8,0.5880057138,-1.111764706,1.111764706,-1.370588235,1.370588235
3,0.06981317008,0.2972622532,0.02078660168,0.2972622532,0.02078660168,0.2177124023,0.02498626709,167,0.9955845248,0.111012578,0.0602940768,8,0.796919939,-1.111764706,1.111764706,-1.370588235,1.370588235
4,0.0872664626,0.3036132089,0.02656271387,0.3036132089,0.02656271387,0.2270431519,0.02349853516,115,0.9971773245,0.1221172959,0.05914803594,8,0.7176510736,-1.1,1.1,-1.382352941,1.382352941
5,0.1047197551,0.3112321192,0.03271181388,0.3112321192,0.03271181388,0.2158355713,0.02601623535,135,0.9971014493,0.1305136979,0.0500580892,8,0.5629072563,-1.1,1.1,-1.382352941,1.382352941
6,0.1221730476,0.3213201894,0.03945315836,0.3213201894,0.03945315836,0.1778793335,0.03268432617,257,0.9914218314,0.08988153934,0.06255849451,8,0.83581215,-1.1,1.1,-1.382352941,1.382352941
7,0.2443460953,0.3494305055,0.08712281008,0.3494305055,0.08712281008,0.2133789063,0.02568817139,119,0.9972826087,0.1338273287,0.04226041213,8,0.5311528267,-1.111764706,1.111764706,-1.394117647,1.394117647
8,0.2967059728,0.3569846604,0.1091411635,0.3569846604,0.1091411635,0.2306442261,0.02020263672,61,0.9989084053,0.1462229043,0.03782869875,8,0.4695429716,-1.123529412,1.123529412,-1.405882353,1.405882353
9,0.3141592654,0.3601573767,0.1170222254,0.3601573767,0.1170222254,0.2248077393,0.02202606201,73,0.9985746284,0.1471829712,0.03027694672,8,0.4304961735,-1.135294118,1.135294118,-1.405882353,1.405882353
10,0.3316125579,0.3627899999,0.1249186148,0.3627899999,0.1249186148,0.2246322632,0.02157592773,79,0.998539551,0.1476690769,0.0277168788,8,0.4285282863,-1.123529412,1.123529412,-1.405882353,1.405882353
11,0.3490658504,0.3703679346,0.1348029039,0.389161787,0.1416433068,0.177230835,0.03266143799,163,0.9856650882,0.07404454052,0.06331404299,8,0.9258537708,-1.135294118,1.135294118,-1.417647059,1.417647059
12,0.3839724354,0.3802821952,0.1536439801,0.3802821952,0.1536439801,0.1704406738,0.0325088501,163,0.9950760967,0.1036592871,0.05988091975,8,0.6117489032,-1.135294118,1.135294118,-1.417647059,1.417647059
13,0.4188790205,0.3748844513,0.1669093114,0.3748844513,0.1669093114,0.205696106,0.02577972412,99,0.9976632914,0.1266017556,0.04493633658,8,0.5923851273,-1.147058824,1.147058824,-1.417647059,1.417647059
14,0.436332313,0.3803029917,0.1773381974,0.3803029917,0.1773381974,0.1819839478,0.03105926514,197,0.9916572339,0.1035443693,0.05845040455,8,0.719029012,-1.147058824,1.147058824,-1.429411765,1.429411765
15,0.4537856055,0.3757752963,0.183277858,0.3757752963,0.183277858,0.2128372192,0.02333068848,73,0.9984944618,0.1284531802,0.04782509059,8,0.6086410229,-1.158823529,1.158823529,-1.417647059,1.417647059
16,0.471238898,0.3768325519,0.1920057754,0.3768325519,0.1920057754,0.2107849121,0.02391815186,65,0.9983712176,0.1309466362,0.04360007495,8,0.5659376009,-1.158823529,1.158823529,-1.429411765,1.429411765
